Demo_Task,Fiscal_Period,ESG_Record_ID,Linked_GL_Txn_ID,Entity,Cost_Center,Cost_Center_Name,ESG_Category,Account_Code,Account_Name,Supplier,Invoice_Number,PO_Number,Spend_AUD,Sustainability_KPI,KPI_Target,KPI_Actual,KPI_Attainment_Percent,Carbon_tCO2e,Renewable_Source_Percent,Supplier_ESG_Score,Working_Capital_Impact_AUD,Margin_Impact_Points,Misclassification_Flag,Leakage_Flag,Disclosure_Evidence_Status,Audit_Readiness,Recommended_Action,Approval_Required,Source_File_Target
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0120,TXN006328,PNG01,IT,Information Technology,Energy usage,5110,Utilities,Sustainable Packaging Co,BOB-ESG-0120,PO-ESG-2131,100095.4,audit_evidence_count,405.39,284.68,70.2,33.47,67.9,66,48686.92,0.07,No,None,Complete,Partial,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0121,TXN006329,PNG01,R&D,Research & Development,Compliance assurance,5320,Audit Fees,Energy Australia,BOB-ESG-0121,PO-ESG-1370,4934.02,tCO2e avoided,416.68,340.33,81.7,252.65,44.9,73,42850.18,-0.1,No,None,Partial,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0122,TXN006330,AUS01,OPS,Operations & Logistics,Compliance assurance,5320,Audit Fees,Climate Active Advisor,BOB-ESG-0122,PO-ESG-5936,115645.4,supplier_score,63.08,41.34,65.5,341.46,79.9,50,-38469.63,-0.76,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Ready,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0123,TXN006331,PNG01,NSW,New South Wales Operations,Supplier ESG premium,6010,Direct Materials,EcoVadis,BOB-ESG-0123,PO-ESG-6353,87086.39,tCO2e avoided,794.32,609.54,76.7,465.88,13.1,60,75796.2,-0.09,No,None,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0124,TXN006332,AUS01,QLD,Queensland Operations,Fleet emissions,5400,Travel,Sustainable Packaging Co,BOB-ESG-0124,PO-ESG-2833,117395.25,supplier_score,98.34,104.2,106.0,257.67,90.1,68,-7147.28,-0.68,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0125,TXN006333,FJI01,OPS,Operations & Logistics,Compliance assurance,5320,Audit Fees,Energy Australia,BOB-ESG-0125,PO-ESG-4367,30635.7,audit_evidence_count,147.54,97.21,65.9,206.09,75.2,95,62983.83,-0.57,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Partial,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0126,TXN006334,PNG01,NT,Northern Territory Operations,Sustainable packaging,6010,Direct Materials,Carbon Neutral Pty Ltd,BOB-ESG-0126,PO-ESG-1458,68752.18,waste_kg_reduced,269.89,293.25,108.7,156.37,60.7,77,-44845.58,0.07,No,None,Complete,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0127,TXN006335,NZL01,TAS,Tasmania Operations,Supplier ESG premium,6010,Direct Materials,Green Freight,BOB-ESG-0127,PO-ESG-2613,86712.08,renewable_kwh,224.59,224.18,99.8,425.07,61.2,68,-27320.93,0.31,No,None,Partial,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0128,TXN006336,FJI01,CORP,Corporate Head Office,Renewable sourcing premium,6000,Cost of Goods Sold,Bureau Veritas,BOB-ESG-0128,PO-ESG-9428,4500.75,tCO2e avoided,515.57,529.1,102.6,533.94,43.2,71,29458.61,-0.77,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Partial,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0129,TXN006337,NZL01,NT,Northern Territory Operations,Energy usage,5110,Utilities,Bureau Veritas,BOB-ESG-0129,PO-ESG-8427,55176.05,tCO2e avoided,681.23,474.46,69.6,521.99,34.9,87,-26110.07,-0.03,No,None,Missing,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0130,TXN006338,AUS01,VIC,Victoria Operations,Supplier ESG premium,6010,Direct Materials,Climate Active Advisor,BOB-ESG-0130,PO-ESG-6291,33544.66,supplier_score,274.06,239.35,87.3,172.96,73.2,82,8925.64,0.06,No,None,Partial,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0131,TXN006339,AUS01,QLD,Queensland Operations,Carbon offsets,5300,Professional Services,Climate Active Advisor,BOB-ESG-0131,PO-ESG-3540,65628.83,audit_evidence_count,533.13,616.25,115.6,296.01,14.1,51,75577.72,0.34,Yes,ESG spend posted to non-ESG account or missing KPI link,Missing,Partial,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0132,TXN006340,NZL01,QLD,Queensland Operations,Energy usage,5110,Utilities,Climate Active Advisor,BOB-ESG-0132,PO-ESG-1698,8015.88,audit_evidence_count,736.85,568.71,77.2,72.77,84.0,48,-10152.47,-0.58,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0133,TXN006341,NZL01,IT,Information Technology,Compliance assurance,5320,Audit Fees,Climate Active Advisor,BOB-ESG-0133,PO-ESG-2002,17753.18,supplier_score,833.36,986.24,118.3,366.11,41.2,99,22480.95,-0.76,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0134,TXN006342,PNG01,ACT,Australian Capital Territory,Energy usage,5110,Utilities,Carbon Neutral Pty Ltd,BOB-ESG-0134,PO-ESG-6393,24140.76,tCO2e avoided,144.9,178.77,123.4,22.64,49.2,87,46372.19,0.06,No,None,Missing,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0135,TXN006343,PNG01,FIN,Finance & Accounting,Waste reduction,5600,Telecommunications,Climate Active Advisor,BOB-ESG-0135,PO-ESG-4260,15174.35,supplier_score,665.54,577.1,86.7,254.91,27.9,92,-36876.11,0.39,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Ready,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0136,TXN006344,AUS01,VIC,Victoria Operations,Renewable sourcing premium,6000,Cost of Goods Sold,Origin Energy,BOB-ESG-0136,PO-ESG-8663,86860.4,audit_evidence_count,661.43,687.9,104.0,148.22,62.0,75,66803.68,-0.74,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0137,TXN006345,AUS01,TAS,Tasmania Operations,Renewable sourcing premium,6000,Cost of Goods Sold,Green Freight,BOB-ESG-0137,PO-ESG-3333,88289.15,audit_evidence_count,512.81,618.66,120.6,101.06,2.7,46,-9655.7,-0.63,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0138,TXN006346,NZL01,VIC,Victoria Operations,Renewable sourcing premium,6000,Cost of Goods Sold,Sustainable Packaging Co,BOB-ESG-0138,PO-ESG-1926,110415.26,renewable_kwh,441.55,338.06,76.6,310.69,78.0,93,70975.48,0.37,No,None,Missing,Ready,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0139,TXN006347,PNG01,TAS,Tasmania Operations,Energy usage,5110,Utilities,Bureau Veritas,BOB-ESG-0139,PO-ESG-2631,11474.35,renewable_kwh,216.29,219.7,101.6,135.43,78.0,50,-20987.16,-0.44,No,None,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0140,TXN006348,AUS01,WA,Western Australia Operations,Supplier ESG premium,6010,Direct Materials,EcoVadis,BOB-ESG-0140,PO-ESG-1024,55596.36,tCO2e avoided,223.49,238.16,106.6,160.48,37.7,78,-28270.43,-0.63,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0141,TXN006349,FJI01,SA,South Australia Operations,Sustainable packaging,6010,Direct Materials,Climate Active Advisor,BOB-ESG-0141,PO-ESG-8824,102681.13,renewable_kwh,994.32,997.65,100.3,154.63,41.0,96,-7932.17,0.09,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0142,TXN006350,AUS01,NT,Northern Territory Operations,Fleet emissions,5400,Travel,EcoVadis,BOB-ESG-0142,PO-ESG-4286,47872.57,audit_evidence_count,574.86,509.59,88.6,276.51,77.2,50,29336.94,-0.6,Yes,ESG spend posted to non-ESG account or missing KPI link,Complete,Ready,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0143,TXN006351,NZL01,MKT,Marketing & Sales,Compliance assurance,5320,Audit Fees,Origin Energy,BOB-ESG-0143,PO-ESG-5409,76488.35,tCO2e avoided,315.11,366.19,116.2,346.57,51.4,61,67376.19,0.01,No,None,Missing,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0144,TXN006352,NZL01,OPS,Operations & Logistics,Waste reduction,5600,Telecommunications,EcoVadis,BOB-ESG-0144,PO-ESG-7672,97049.19,waste_kg_reduced,966.24,839.48,86.9,370.49,53.1,83,-40986.58,-0.65,No,None,Missing,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0145,TXN006353,AUS01,IT,Information Technology,Sustainable packaging,6010,Direct Materials,Bureau Veritas,BOB-ESG-0145,PO-ESG-9314,97189.24,tCO2e avoided,633.23,768.4,121.3,62.11,73.3,90,28121.46,-0.27,Yes,ESG spend posted to non-ESG account or missing KPI link,Missing,Ready,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0146,TXN006354,PNG01,IT,Information Technology,Sustainable packaging,6010,Direct Materials,Carbon Neutral Pty Ltd,BOB-ESG-0146,PO-ESG-6102,27044.54,tCO2e avoided,385.56,290.27,75.3,229.53,65.6,76,-19782.84,-0.11,No,None,Complete,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0147,TXN006355,PNG01,ACT,Australian Capital Territory,Compliance assurance,5320,Audit Fees,Green Freight,BOB-ESG-0147,PO-ESG-9713,52206.06,waste_kg_reduced,371.53,331.23,89.2,539.22,94.0,78,69000.26,-0.16,No,None,Partial,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0148,TXN006356,AUS01,R&D,Research & Development,Fleet emissions,5400,Travel,Climate Active Advisor,BOB-ESG-0148,PO-ESG-2560,82564.17,audit_evidence_count,308.83,322.7,104.5,156.33,55.3,65,13924.15,0.1,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Partial,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0149,TXN006357,PNG01,R&D,Research & Development,Carbon offsets,5300,Professional Services,Carbon Neutral Pty Ltd,BOB-ESG-0149,PO-ESG-1820,58190.22,supplier_score,964.14,969.94,100.6,57.21,24.0,99,-39734.45,-0.3,Yes,ESG spend posted to non-ESG account or missing KPI link,Complete,Partial,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0150,TXN006358,AUS01,SA,South Australia Operations,Energy usage,5110,Utilities,Carbon Neutral Pty Ltd,BOB-ESG-0150,PO-ESG-1555,10357.8,waste_kg_reduced,925.0,1107.87,119.8,481.55,43.2,47,37324.36,0.17,No,None,Missing,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0151,TXN006359,AUS01,QLD,Queensland Operations,Waste reduction,5600,Telecommunications,Energy Australia,BOB-ESG-0151,PO-ESG-2396,61977.43,tCO2e avoided,820.66,590.02,71.9,195.42,43.0,90,37961.16,-0.35,No,None,Missing,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0152,TXN006360,NZL01,TAS,Tasmania Operations,Sustainable packaging,6010,Direct Materials,Origin Energy,BOB-ESG-0152,PO-ESG-5878,60818.06,audit_evidence_count,221.09,179.11,81.0,63.91,15.3,50,76902.67,0.26,Yes,ESG spend posted to non-ESG account or missing KPI link,Missing,Ready,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0153,TXN006361,AUS01,WA,Western Australia Operations,Fleet emissions,5400,Travel,Origin Energy,BOB-ESG-0153,PO-ESG-7195,92862.82,audit_evidence_count,697.7,784.34,112.4,549.28,8.1,68,80784.57,-0.67,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0154,TXN006362,NZL01,SA,South Australia Operations,Compliance assurance,5320,Audit Fees,Green Freight,BOB-ESG-0154,PO-ESG-6439,18508.8,waste_kg_reduced,906.12,884.15,97.6,108.01,24.1,93,33817.8,-0.29,No,None,Complete,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0155,TXN006363,FJI01,FIN,Finance & Accounting,Sustainable packaging,6010,Direct Materials,Energy Australia,BOB-ESG-0155,PO-ESG-1509,91813.01,tCO2e avoided,616.58,546.77,88.7,212.71,92.7,64,76906.85,-0.75,No,None,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0156,TXN006364,NZL01,FIN,Finance & Accounting,Energy usage,5110,Utilities,Carbon Neutral Pty Ltd,BOB-ESG-0156,PO-ESG-6870,118119.9,renewable_kwh,617.12,660.15,107.0,170.58,77.8,56,-41576.12,-0.68,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0157,TXN006365,PNG01,SA,South Australia Operations,Waste reduction,5600,Telecommunications,Bureau Veritas,BOB-ESG-0157,PO-ESG-8675,6434.45,waste_kg_reduced,399.27,471.81,118.2,530.85,5.0,70,19062.16,0.07,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0158,TXN006366,AUS01,OPS,Operations & Logistics,Renewable sourcing premium,6000,Cost of Goods Sold,Green Freight,BOB-ESG-0158,PO-ESG-4065,99983.32,tCO2e avoided,260.32,305.76,117.5,184.34,14.0,57,63745.63,0.37,No,None,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0159,TXN006367,NZL01,FIN,Finance & Accounting,Compliance assurance,5320,Audit Fees,Carbon Neutral Pty Ltd,BOB-ESG-0159,PO-ESG-8502,63073.74,renewable_kwh,970.6,694.72,71.6,100.8,28.2,67,49265.15,-0.17,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0160,TXN006368,AUS01,FIN,Finance & Accounting,Sustainable packaging,6010,Direct Materials,Energy Australia,BOB-ESG-0160,PO-ESG-2604,56031.73,waste_kg_reduced,141.51,94.6,66.9,314.76,45.1,72,-29683.95,-0.13,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Partial,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0161,TXN006369,AUS01,FIN,Finance & Accounting,Fleet emissions,5400,Travel,EcoVadis,BOB-ESG-0161,PO-ESG-2758,81790.9,tCO2e avoided,557.88,403.37,72.3,62.61,13.1,67,-44181.07,-0.09,No,None,Complete,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0162,TXN006370,AUS01,NSW,New South Wales Operations,Fleet emissions,5400,Travel,Origin Energy,BOB-ESG-0162,PO-ESG-7784,70918.98,renewable_kwh,952.89,784.93,82.4,507.98,33.0,93,78906.93,-0.2,Yes,ESG spend posted to non-ESG account or missing KPI link,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0163,TXN006371,AUS01,ACT,Australian Capital Territory,Fleet emissions,5400,Travel,Energy Australia,BOB-ESG-0163,PO-ESG-9187,53963.86,tCO2e avoided,471.82,373.03,79.1,215.21,43.7,74,-6035.87,0.36,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0164,TXN006372,FJI01,FIN,Finance & Accounting,Supplier ESG premium,6010,Direct Materials,Energy Australia,BOB-ESG-0164,PO-ESG-2117,32995.53,renewable_kwh,735.69,755.01,102.6,500.3,14.4,53,20953.69,-0.41,No,None,Partial,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0165,TXN006373,AUS01,NT,Northern Territory Operations,Energy usage,5110,Utilities,EcoVadis,BOB-ESG-0165,PO-ESG-8834,88900.73,tCO2e avoided,509.93,427.84,83.9,223.51,80.4,49,65834.77,-0.16,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Partial,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0166,TXN006374,PNG01,NSW,New South Wales Operations,Renewable sourcing premium,6000,Cost of Goods Sold,EcoVadis,BOB-ESG-0166,PO-ESG-1799,109669.17,waste_kg_reduced,850.88,973.48,114.4,88.69,79.0,78,-34365.56,-0.33,No,None,Missing,Ready,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0167,TXN006375,AUS01,SA,South Australia Operations,Supplier ESG premium,6010,Direct Materials,Sustainable Packaging Co,BOB-ESG-0167,PO-ESG-1748,42435.93,audit_evidence_count,796.97,584.9,73.4,75.62,71.2,81,45393.93,-0.44,No,None,Complete,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0168,TXN006376,FJI01,R&D,Research & Development,Energy usage,5110,Utilities,Carbon Neutral Pty Ltd,BOB-ESG-0168,PO-ESG-4326,4110.72,renewable_kwh,604.6,586.03,96.9,344.48,60.8,77,56210.86,-0.29,No,None,Partial,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0169,TXN006377,NZL01,ACT,Australian Capital Territory,Fleet emissions,5400,Travel,EcoVadis,BOB-ESG-0169,PO-ESG-8008,56052.04,tCO2e avoided,296.44,193.69,65.3,74.24,18.6,99,-42740.95,0.19,No,None,Missing,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0170,TXN006378,PNG01,CORP,Corporate Head Office,Sustainable packaging,6010,Direct Materials,Bureau Veritas,BOB-ESG-0170,PO-ESG-8786,91482.64,renewable_kwh,912.93,791.36,86.7,397.62,6.9,85,51519.01,0.06,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0171,TXN006379,AUS01,CORP,Corporate Head Office,Waste reduction,5600,Telecommunications,Climate Active Advisor,BOB-ESG-0171,PO-ESG-9950,11273.74,waste_kg_reduced,619.77,774.12,124.9,408.2,70.1,66,-199.24,-0.64,No,None,Complete,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0172,TXN006380,PNG01,WA,Western Australia Operations,Renewable sourcing premium,6000,Cost of Goods Sold,Climate Active Advisor,BOB-ESG-0172,PO-ESG-6990,69010.87,waste_kg_reduced,665.39,470.54,70.7,58.28,65.2,71,34534.38,-0.33,Yes,ESG spend posted to non-ESG account or missing KPI link,Complete,Ready,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0173,TXN006381,NZL01,HR,Human Resources,Energy usage,5110,Utilities,Climate Active Advisor,BOB-ESG-0173,PO-ESG-2249,43058.99,renewable_kwh,659.51,770.55,116.8,34.97,88.0,50,79905.18,-0.38,No,None,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0174,TXN006382,FJI01,HR,Human Resources,Fleet emissions,5400,Travel,Bureau Veritas,BOB-ESG-0174,PO-ESG-8445,106709.02,tCO2e avoided,963.05,791.69,82.2,357.58,41.8,79,-5728.65,0.3,No,None,Complete,Ready,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
